2023-05-07T19:45:54.914Z | niHMo | desmond | 151
2023-05-07T19:49:09.802Z | niHMo | user0 | 200
2023-05-07T19:49:10.772Z | niHMo | desmond | 201
2023-05-07T19:49:10.803Z | niHMo | user0 | 201
2023-05-07T19:49:11.775Z | niHMo | desmond | 201
2023-05-07T19:49:11.805Z | niHMo | user0 | 201
2023-05-07T19:49:12.777Z | niHMo | desmond | 201
2023-05-07T19:49:12.806Z | niHMo | user0 | 201
2023-05-07T19:49:13.779Z | niHMo | desmond | 201
2023-05-07T19:49:13.808Z | niHMo | user0 | 201
2023-05-07T19:49:14.781Z | niHMo | desmond | 202
2023-05-07T19:49:14.808Z | niHMo | user0 | 202
2023-05-07T19:49:15.789Z | niHMo | desmond | 202
2023-05-07T19:49:15.821Z | niHMo | user0 | 202
2023-05-07T19:49:16.826Z | niHMo | user0 | 164
2023-05-07T19:49:27.873Z | niHMo | desmond | 202
2023-05-07T19:49:27.905Z | niHMo | user0 | 202
2023-05-07T19:49:28.874Z | niHMo | desmond | 164
2023-05-07T19:49:28.906Z | niHMo | user0 | 164
2023-05-07T19:49:29.877Z | niHMo | desmond | 202
2023-05-07T19:49:29.908Z | niHMo | user0 | 202
2023-05-07T19:49:30.879Z | niHMo | desmond | 203
2023-05-07T19:49:30.911Z | niHMo | user0 | 203
2023-05-07T19:49:31.881Z | niHMo | desmond | 203
2023-05-07T19:49:31.921Z | niHMo | user0 | 203
2023-05-07T19:49:32.884Z | niHMo | desmond | 203
2023-05-07T19:49:32.924Z | niHMo | user0 | 203
2023-05-07T19:49:33.886Z | niHMo | desmond | 203
2023-05-07T19:49:33.926Z | niHMo | user0 | 203
2023-05-07T19:49:34.889Z | niHMo | desmond | 204
2023-05-07T19:49:34.931Z | niHMo | user0 | 204
2023-05-07T19:49:35.890Z | niHMo | desmond | 205
2023-05-07T19:49:35.933Z | niHMo | user0 | 204
2023-05-07T19:49:36.935Z | niHMo | user0 | 204
2023-05-07T19:49:36.892Z | niHMo | desmond | 204
2023-05-07T19:49:37.949Z | niHMo | user0 | 204
2023-05-07T19:49:37.901Z | niHMo | desmond | 204
2023-05-07T19:49:38.960Z | niHMo | user0 | 167
2023-05-07T19:49:47.963Z | niHMo | desmond | 205
2023-05-07T19:49:48.010Z | niHMo | user0 | 205
2023-05-07T19:49:48.966Z | niHMo | desmond | 167
2023-05-07T19:49:49.012Z | niHMo | user0 | 167
2023-05-07T19:49:49.968Z | niHMo | desmond | 205
2023-05-07T19:49:50.015Z | niHMo | user0 | 205
2023-05-07T19:49:50.970Z | niHMo | desmond | 205
2023-05-07T19:49:51.024Z | niHMo | user0 | 205
2023-05-07T19:49:51.972Z | niHMo | desmond | 205
2023-05-07T19:49:52.026Z | niHMo | user0 | 205
2023-05-07T19:49:52.975Z | niHMo | desmond | 206
2023-05-07T19:49:53.029Z | niHMo | user0 | 206
2023-05-07T19:49:53.976Z | niHMo | desmond | 206
2023-05-07T19:49:54.030Z | niHMo | user0 | 206
2023-05-07T19:49:54.979Z | niHMo | desmond | 206
2023-05-07T19:49:55.033Z | niHMo | user0 | 206
2023-05-07T19:49:55.980Z | niHMo | desmond | 206
2023-05-07T19:49:56.036Z | niHMo | user0 | 206
2023-05-07T19:49:56.982Z | niHMo | desmond | 207
2023-05-07T19:49:57.037Z | niHMo | user0 | 207
2023-05-07T19:49:57.983Z | niHMo | desmond | 207
2023-05-07T19:49:58.038Z | niHMo | user0 | 207
2023-05-07T19:49:58.992Z | niHMo | desmond | 207
2023-05-07T19:49:59.039Z | niHMo | user0 | 207
2023-05-07T19:50:00.055Z | niHMo | user0 | 186
2023-05-07T19:50:02.016Z | niHMo | desmond | 207
2023-05-07T19:50:03.018Z | niHMo | desmond | 182
2023-05-07T19:50:04.020Z | niHMo | desmond | 206
2023-05-07T19:50:04.082Z | niHMo | user0 | 207
2023-05-07T19:50:05.021Z | niHMo | desmond | 168
2023-05-07T19:50:05.084Z | niHMo | user0 | 172
2023-05-07T19:50:06.023Z | niHMo | desmond | 204
2023-05-07T19:50:06.085Z | niHMo | user0 | 205
2023-05-07T19:50:07.024Z | niHMo | desmond | 205
2023-05-07T19:50:07.087Z | niHMo | user0 | 205
2023-05-07T19:50:08.027Z | niHMo | desmond | 206
2023-05-07T19:50:08.089Z | niHMo | user0 | 206
2023-05-07T19:50:09.029Z | niHMo | desmond | 206
2023-05-07T19:50:09.090Z | niHMo | user0 | 206
2023-05-07T19:50:10.031Z | niHMo | desmond | 206
2023-05-07T19:50:10.099Z | niHMo | user0 | 206
2023-05-07T19:50:11.035Z | niHMo | desmond | 206
2023-05-07T19:50:11.101Z | niHMo | user0 | 206
2023-05-07T19:50:12.038Z | niHMo | desmond | 207
2023-05-07T19:50:12.105Z | niHMo | user0 | 207
2023-05-07T19:50:13.044Z | niHMo | desmond | 207
2023-05-07T19:50:13.110Z | niHMo | user0 | 207
2023-05-07T19:50:14.125Z | niHMo | user0 | 189
2023-05-07T19:50:15.066Z | niHMo | desmond | 207
2023-05-07T19:50:16.082Z | niHMo | desmond | 89
2023-05-07T19:50:17.083Z | niHMo | desmond | 116
2023-05-07T19:50:17.147Z | niHMo | user0 | 207
2023-05-07T19:50:18.085Z | niHMo | desmond | 65
2023-05-07T19:50:18.148Z | niHMo | user0 | 117
2023-05-07T19:50:19.086Z | niHMo | desmond | 118
2023-05-07T19:50:19.149Z | niHMo | user0 | 117
2023-05-07T19:50:20.087Z | niHMo | desmond | 118
2023-05-07T19:50:20.160Z | niHMo | user0 | 118
2023-05-07T19:50:21.089Z | niHMo | desmond | 118
2023-05-07T19:50:21.163Z | niHMo | user0 | 118
2023-05-07T19:50:22.092Z | niHMo | desmond | 119
2023-05-07T19:50:22.164Z | niHMo | user0 | 119
2023-05-07T19:50:23.093Z | niHMo | desmond | 120
2023-05-07T19:50:23.166Z | niHMo | user0 | 120
2023-05-07T19:50:24.096Z | niHMo | desmond | 121
2023-05-07T19:50:24.169Z | niHMo | user0 | 121
2023-05-07T19:50:25.097Z | niHMo | desmond | 121
2023-05-07T19:50:25.169Z | niHMo | user0 | 121
2023-05-07T19:50:26.099Z | niHMo | desmond | 122
2023-05-07T19:50:26.171Z | niHMo | user0 | 122
2023-05-07T19:50:27.102Z | niHMo | desmond | 124
2023-05-07T19:50:27.172Z | niHMo | user0 | 123
2023-05-07T19:50:28.104Z | niHMo | desmond | 124
2023-05-07T19:50:28.173Z | niHMo | user0 | 124
2023-05-07T19:50:29.120Z | niHMo | desmond | 124
2023-05-07T19:50:29.187Z | niHMo | user0 | 76
2023-05-07T19:50:30.122Z | niHMo | desmond | 0
2023-05-07T19:50:30.191Z | niHMo | user0 | 124
2023-05-07T19:50:31.125Z | niHMo | desmond | 183
2023-05-07T19:50:31.193Z | niHMo | user0 | 0
2023-05-07T19:50:32.127Z | niHMo | desmond | 186
2023-05-07T19:50:32.197Z | niHMo | user0 | 184
2023-05-07T19:50:33.128Z | niHMo | desmond | 189
2023-05-07T19:50:33.198Z | niHMo | user0 | 188
2023-05-07T19:50:34.130Z | niHMo | desmond | 192
2023-05-07T19:50:34.199Z | niHMo | user0 | 191
2023-05-07T19:50:35.131Z | niHMo | desmond | 195
2023-05-07T19:50:35.200Z | niHMo | user0 | 194
2023-05-07T19:50:36.134Z | niHMo | desmond | 206
2023-05-07T19:50:36.201Z | niHMo | user0 | 197
2023-05-07T19:50:37.141Z | niHMo | desmond | 207
2023-05-07T19:50:37.204Z | niHMo | user0 | 201
2023-05-07T19:50:38.205Z | niHMo | user0 | 201
2023-05-07T19:50:39.217Z | niHMo | user0 | 205
