2023-05-07T20:48:57.222Z | Sg3Ii | mansi | play
2023-05-07T20:50:16.660Z | Sg3Ii | user2 | pause
2023-05-07T20:50:16.666Z | Sg3Ii | user12 | pause
2023-05-07T20:50:16.881Z | Sg3Ii | user4 | pause
2023-05-07T20:50:16.914Z | Sg3Ii | user1 | pause
2023-05-07T20:50:17.178Z | Sg3Ii | user7 | pause
2023-05-07T20:50:16.138Z | Sg3Ii | user6 | pause
2023-05-07T20:50:17.178Z | Sg3Ii | user19 | pause
2023-05-07T20:50:16.906Z | Sg3Ii | user10 | pause
2023-05-07T20:50:16.689Z | Sg3Ii | user0 | pause
2023-05-07T20:50:16.813Z | Sg3Ii | user16 | pause
2023-05-07T20:50:16.861Z | Sg3Ii | user13 | pause
2023-05-07T20:50:17.835Z | Sg3Ii | user9 | pause
2023-05-07T20:50:16.905Z | Sg3Ii | user14 | pause
2023-05-07T20:50:39.722Z | Sg3Ii | mansi | play
2023-05-07T20:50:39.739Z | Sg3Ii | user16 | play
2023-05-07T20:50:39.758Z | Sg3Ii | user10 | play
2023-05-07T20:50:39.738Z | Sg3Ii | user11 | play
2023-05-07T20:50:39.760Z | Sg3Ii | user19 | play
2023-05-07T20:50:39.739Z | Sg3Ii | user13 | play
2023-05-07T20:50:39.739Z | Sg3Ii | user8 | play
2023-05-07T20:50:39.738Z | Sg3Ii | user9 | play
2023-05-07T20:50:39.846Z | Sg3Ii | user14 | play
2023-05-07T20:50:39.959Z | Sg3Ii | user17 | play
2023-05-07T20:50:39.901Z | Sg3Ii | user3 | play
2023-05-07T20:50:40.053Z | Sg3Ii | user18 | play
2023-05-07T20:50:40.010Z | Sg3Ii | user4 | play
2023-05-07T20:50:40.029Z | Sg3Ii | user5 | play
2023-05-07T20:50:40.068Z | Sg3Ii | user2 | play
2023-05-07T20:50:39.941Z | Sg3Ii | user0 | play
2023-05-07T20:50:39.963Z | Sg3Ii | user1 | play
2023-05-07T20:50:40.530Z | Sg3Ii | user12 | play
2023-05-07T20:50:40.641Z | Sg3Ii | user7 | play
2023-05-07T20:50:39.740Z | Sg3Ii | user15 | play
2023-05-07T20:50:39.742Z | Sg3Ii | user6 | play
2023-05-07T20:51:58.955Z | Sg3Ii | mansi | pause
2023-05-07T20:51:58.975Z | Sg3Ii | user16 | pause
2023-05-07T20:51:58.977Z | Sg3Ii | user4 | pause
2023-05-07T20:51:58.976Z | Sg3Ii | user19 | pause
2023-05-07T20:51:59.023Z | Sg3Ii | user12 | pause
2023-05-07T20:51:59.037Z | Sg3Ii | user14 | pause
2023-05-07T20:51:59.038Z | Sg3Ii | user1 | pause
2023-05-07T20:51:58.991Z | Sg3Ii | user18 | pause
2023-05-07T20:51:58.976Z | Sg3Ii | user11 | pause
2023-05-07T20:51:58.987Z | Sg3Ii | user10 | pause
2023-05-07T20:51:59.007Z | Sg3Ii | user3 | pause
2023-05-07T20:51:58.988Z | Sg3Ii | user2 | pause
2023-05-07T20:51:59.148Z | Sg3Ii | user17 | pause
2023-05-07T20:51:59.026Z | Sg3Ii | user8 | pause
2023-05-07T20:51:59.024Z | Sg3Ii | user13 | pause
2023-05-07T20:51:59.105Z | Sg3Ii | user6 | pause
2023-05-07T20:51:59.073Z | Sg3Ii | user9 | pause
2023-05-07T20:51:59.077Z | Sg3Ii | user5 | pause
2023-05-07T20:51:59.074Z | Sg3Ii | user7 | pause
2023-05-07T20:51:59.010Z | Sg3Ii | user15 | pause
2023-05-07T20:51:59.030Z | Sg3Ii | user0 | pause
2023-05-07T20:52:32.244Z | Sg3Ii | mansi | play
2023-05-07T20:52:32.263Z | Sg3Ii | user19 | play
2023-05-07T20:52:32.284Z | Sg3Ii | user1 | play
2023-05-07T20:52:32.263Z | Sg3Ii | user9 | play
2023-05-07T20:52:32.279Z | Sg3Ii | user0 | play
2023-05-07T20:52:32.264Z | Sg3Ii | user18 | play
2023-05-07T20:52:32.277Z | Sg3Ii | user4 | play
2023-05-07T20:52:32.263Z | Sg3Ii | user15 | play
2023-05-07T20:52:32.297Z | Sg3Ii | user6 | play
2023-05-07T20:52:32.360Z | Sg3Ii | user2 | play
2023-05-07T20:52:32.392Z | Sg3Ii | user17 | play
2023-05-07T20:52:32.334Z | Sg3Ii | user14 | play
2023-05-07T20:52:32.308Z | Sg3Ii | user16 | play
2023-05-07T20:52:32.424Z | Sg3Ii | user13 | play
2023-05-07T20:52:32.451Z | Sg3Ii | user8 | play
2023-05-07T20:52:32.476Z | Sg3Ii | user11 | play
2023-05-07T20:52:32.488Z | Sg3Ii | user7 | play
2023-05-07T20:52:32.438Z | Sg3Ii | user3 | play
2023-05-07T20:52:32.461Z | Sg3Ii | user12 | play
2023-05-07T20:52:32.480Z | Sg3Ii | user10 | play
2023-05-07T20:52:32.484Z | Sg3Ii | user5 | play
2023-05-07T20:53:08.075Z | Sg3Ii | mansi | pause
2023-05-07T20:53:08.091Z | Sg3Ii | user16 | pause
2023-05-07T20:53:08.091Z | Sg3Ii | user7 | pause
2023-05-07T20:53:08.106Z | Sg3Ii | user13 | pause
2023-05-07T20:53:08.092Z | Sg3Ii | user10 | pause
2023-05-07T20:53:08.095Z | Sg3Ii | user11 | pause
2023-05-07T20:53:08.107Z | Sg3Ii | user15 | pause
2023-05-07T20:53:08.092Z | Sg3Ii | user2 | pause
2023-05-07T20:53:08.122Z | Sg3Ii | user9 | pause
2023-05-07T20:53:08.188Z | Sg3Ii | user12 | pause
2023-05-07T20:53:08.132Z | Sg3Ii | user3 | pause
2023-05-07T20:53:08.096Z | Sg3Ii | user5 | pause
2023-05-07T20:53:08.092Z | Sg3Ii | user4 | pause
2023-05-07T20:53:08.119Z | Sg3Ii | user8 | pause
2023-05-07T20:53:08.180Z | Sg3Ii | user17 | pause
2023-05-07T20:53:08.094Z | Sg3Ii | user18 | pause
2023-05-07T20:53:08.251Z | Sg3Ii | user0 | pause
2023-05-07T20:53:08.255Z | Sg3Ii | user19 | pause
2023-05-07T20:53:08.189Z | Sg3Ii | user14 | pause
2023-05-07T20:53:08.095Z | Sg3Ii | user6 | pause
2023-05-07T20:53:08.796Z | Sg3Ii | user1 | pause
2023-05-07T20:53:42.729Z | Sg3Ii | mansi | play
2023-05-07T20:53:42.756Z | Sg3Ii | user13 | play
2023-05-07T20:53:42.756Z | Sg3Ii | user10 | play
2023-05-07T20:53:42.753Z | Sg3Ii | user9 | play
2023-05-07T20:53:42.769Z | Sg3Ii | user19 | play
2023-05-07T20:53:42.746Z | Sg3Ii | user11 | play
2023-05-07T20:53:42.779Z | Sg3Ii | user2 | play
2023-05-07T20:53:42.762Z | Sg3Ii | user4 | play
2023-05-07T20:53:42.797Z | Sg3Ii | user6 | play
2023-05-07T20:53:42.794Z | Sg3Ii | user5 | play
2023-05-07T20:53:42.830Z | Sg3Ii | user18 | play
2023-05-07T20:53:42.767Z | Sg3Ii | user12 | play
2023-05-07T20:53:42.861Z | Sg3Ii | user17 | play
2023-05-07T20:53:42.860Z | Sg3Ii | user14 | play
2023-05-07T20:53:42.870Z | Sg3Ii | user3 | play
2023-05-07T20:53:42.803Z | Sg3Ii | user16 | play
2023-05-07T20:53:42.793Z | Sg3Ii | user15 | play
2023-05-07T20:53:42.809Z | Sg3Ii | user0 | play
2023-05-07T20:53:42.748Z | Sg3Ii | user7 | play
2023-05-07T20:53:42.846Z | Sg3Ii | user8 | play
2023-05-07T20:53:42.994Z | Sg3Ii | user1 | play
2023-05-07T20:54:01.071Z | Sg3Ii | mansi | pause
2023-05-07T20:54:01.093Z | Sg3Ii | user16 | pause
2023-05-07T20:54:01.093Z | Sg3Ii | user7 | pause
2023-05-07T20:54:01.172Z | Sg3Ii | user5 | pause
2023-05-07T20:54:01.093Z | Sg3Ii | user15 | pause
2023-05-07T20:54:01.092Z | Sg3Ii | user8 | pause
2023-05-07T20:54:01.163Z | Sg3Ii | user17 | pause
2023-05-07T20:54:01.095Z | Sg3Ii | user18 | pause
2023-05-07T20:54:01.144Z | Sg3Ii | user14 | pause
2023-05-07T20:54:01.104Z | Sg3Ii | user10 | pause
2023-05-07T20:54:01.220Z | Sg3Ii | user0 | pause
2023-05-07T20:54:01.218Z | Sg3Ii | user6 | pause
2023-05-07T20:54:01.095Z | Sg3Ii | user2 | pause
2023-05-07T20:54:01.160Z | Sg3Ii | user3 | pause
2023-05-07T20:54:01.157Z | Sg3Ii | user11 | pause
2023-05-07T20:54:01.240Z | Sg3Ii | user4 | pause
2023-05-07T20:54:01.205Z | Sg3Ii | user1 | pause
2023-05-07T20:54:01.294Z | Sg3Ii | user13 | pause
2023-05-07T20:54:01.123Z | Sg3Ii | user9 | pause
2023-05-07T20:54:01.217Z | Sg3Ii | user12 | pause
2023-05-07T20:54:01.147Z | Sg3Ii | user19 | pause
2023-05-07T20:54:12.107Z | Sg3Ii | mansi | play
2023-05-07T20:54:12.124Z | Sg3Ii | user9 | play
2023-05-07T20:54:12.152Z | Sg3Ii | user10 | play
2023-05-07T20:54:12.129Z | Sg3Ii | user14 | play
2023-05-07T20:54:12.125Z | Sg3Ii | user11 | play
2023-05-07T20:54:12.129Z | Sg3Ii | user17 | play
2023-05-07T20:54:12.126Z | Sg3Ii | user18 | play
2023-05-07T20:54:12.126Z | Sg3Ii | user5 | play
2023-05-07T20:54:12.179Z | Sg3Ii | user7 | play
2023-05-07T20:54:12.129Z | Sg3Ii | user4 | play
2023-05-07T20:54:12.225Z | Sg3Ii | user15 | play
2023-05-07T20:54:12.178Z | Sg3Ii | user12 | play
2023-05-07T20:54:12.267Z | Sg3Ii | user16 | play
2023-05-07T20:54:12.256Z | Sg3Ii | user3 | play
2023-05-07T20:54:12.250Z | Sg3Ii | user8 | play
2023-05-07T20:54:12.212Z | Sg3Ii | user2 | play
2023-05-07T20:54:12.127Z | Sg3Ii | user1 | play
2023-05-07T20:54:12.213Z | Sg3Ii | user13 | play
2023-05-07T20:54:12.180Z | Sg3Ii | user0 | play
2023-05-07T20:54:12.254Z | Sg3Ii | user19 | play
2023-05-07T20:54:12.219Z | Sg3Ii | user6 | play
2023-05-07T20:54:40.803Z | Sg3Ii | mansi | pause
2023-05-07T20:54:40.826Z | Sg3Ii | user5 | pause
2023-05-07T20:54:40.822Z | Sg3Ii | user2 | pause
2023-05-07T20:54:40.827Z | Sg3Ii | user8 | pause
2023-05-07T20:54:40.829Z | Sg3Ii | user15 | pause
2023-05-07T20:54:40.824Z | Sg3Ii | user6 | pause
2023-05-07T20:54:40.824Z | Sg3Ii | user3 | pause
2023-05-07T20:54:40.824Z | Sg3Ii | user7 | pause
2023-05-07T20:54:40.826Z | Sg3Ii | user18 | pause
2023-05-07T20:54:40.823Z | Sg3Ii | user9 | pause
2023-05-07T20:54:40.826Z | Sg3Ii | user17 | pause
2023-05-07T20:54:40.842Z | Sg3Ii | user19 | pause
2023-05-07T20:54:40.843Z | Sg3Ii | user0 | pause
2023-05-07T20:54:40.844Z | Sg3Ii | user13 | pause
2023-05-07T20:54:40.888Z | Sg3Ii | user10 | pause
2023-05-07T20:54:40.846Z | Sg3Ii | user4 | pause
2023-05-07T20:54:40.823Z | Sg3Ii | user16 | pause
2023-05-07T20:54:41.017Z | Sg3Ii | user11 | pause
2023-05-07T20:54:40.842Z | Sg3Ii | user12 | pause
2023-05-07T20:54:40.859Z | Sg3Ii | user1 | pause
2023-05-07T20:54:41.022Z | Sg3Ii | user14 | pause
2023-05-07T20:55:21.507Z | Sg3Ii | mansi | play
2023-05-07T20:55:21.532Z | Sg3Ii | user15 | play
2023-05-07T20:55:21.532Z | Sg3Ii | user16 | play
2023-05-07T20:55:21.533Z | Sg3Ii | user2 | play
2023-05-07T20:55:21.560Z | Sg3Ii | user11 | play
2023-05-07T20:55:21.585Z | Sg3Ii | user8 | play
2023-05-07T20:55:21.543Z | Sg3Ii | user10 | play
2023-05-07T20:55:21.543Z | Sg3Ii | user7 | play
2023-05-07T20:55:21.570Z | Sg3Ii | user14 | play
2023-05-07T20:55:21.590Z | Sg3Ii | user17 | play
2023-05-07T20:55:21.588Z | Sg3Ii | user19 | play
2023-05-07T20:55:21.593Z | Sg3Ii | user1 | play
2023-05-07T20:55:21.532Z | Sg3Ii | user4 | play
2023-05-07T20:55:21.623Z | Sg3Ii | user13 | play
2023-05-07T20:55:21.616Z | Sg3Ii | user6 | play
2023-05-07T20:55:21.641Z | Sg3Ii | user12 | play
2023-05-07T20:55:21.601Z | Sg3Ii | user18 | play
2023-05-07T20:55:21.617Z | Sg3Ii | user3 | play
2023-05-07T20:55:21.574Z | Sg3Ii | user5 | play
2023-05-07T20:55:21.683Z | Sg3Ii | user0 | play
2023-05-07T20:55:21.562Z | Sg3Ii | user9 | play
2023-05-07T20:55:48.731Z | Sg3Ii | mansi | pause
2023-05-07T20:55:48.749Z | Sg3Ii | user5 | pause
2023-05-07T20:55:48.751Z | Sg3Ii | user3 | pause
2023-05-07T20:55:48.757Z | Sg3Ii | user6 | pause
2023-05-07T20:55:48.750Z | Sg3Ii | user15 | pause
2023-05-07T20:55:48.747Z | Sg3Ii | user18 | pause
2023-05-07T20:55:48.792Z | Sg3Ii | user16 | pause
2023-05-07T20:55:48.753Z | Sg3Ii | user4 | pause
2023-05-07T20:55:48.771Z | Sg3Ii | user10 | pause
2023-05-07T20:55:48.751Z | Sg3Ii | user13 | pause
2023-05-07T20:55:48.797Z | Sg3Ii | user11 | pause
2023-05-07T20:55:48.780Z | Sg3Ii | user8 | pause
2023-05-07T20:55:48.791Z | Sg3Ii | user9 | pause
2023-05-07T20:55:48.788Z | Sg3Ii | user2 | pause
2023-05-07T20:55:48.815Z | Sg3Ii | user7 | pause
2023-05-07T20:55:48.862Z | Sg3Ii | user0 | pause
2023-05-07T20:55:48.838Z | Sg3Ii | user14 | pause
2023-05-07T20:55:48.994Z | Sg3Ii | user1 | pause
2023-05-07T20:55:49.049Z | Sg3Ii | user17 | pause
2023-05-07T20:55:49.278Z | Sg3Ii | user12 | pause
2023-05-07T20:55:49.321Z | Sg3Ii | user19 | pause
2023-05-07T20:55:59.665Z | Sg3Ii | mansi | play
2023-05-07T20:55:59.683Z | Sg3Ii | user18 | play
2023-05-07T20:55:59.684Z | Sg3Ii | user4 | play
2023-05-07T20:55:59.683Z | Sg3Ii | user2 | play
2023-05-07T20:55:59.686Z | Sg3Ii | user7 | play
2023-05-07T20:55:59.694Z | Sg3Ii | user6 | play
2023-05-07T20:55:59.719Z | Sg3Ii | user8 | play
2023-05-07T20:55:59.693Z | Sg3Ii | user11 | play
2023-05-07T20:55:59.694Z | Sg3Ii | user10 | play
2023-05-07T20:55:59.728Z | Sg3Ii | user15 | play
2023-05-07T20:55:59.822Z | Sg3Ii | user9 | play
2023-05-07T20:55:59.779Z | Sg3Ii | user19 | play
2023-05-07T20:55:59.763Z | Sg3Ii | user14 | play
2023-05-07T20:55:59.757Z | Sg3Ii | user1 | play
2023-05-07T20:55:59.786Z | Sg3Ii | user12 | play
2023-05-07T20:56:00.056Z | Sg3Ii | user5 | play
2023-05-07T20:55:59.684Z | Sg3Ii | user13 | play
2023-05-07T20:55:59.729Z | Sg3Ii | user17 | play
2023-05-07T20:56:00.330Z | Sg3Ii | user16 | play
2023-05-07T20:55:59.762Z | Sg3Ii | user0 | play
2023-05-07T20:55:59.825Z | Sg3Ii | user3 | play
2023-05-07T20:56:13.208Z | Sg3Ii | mansi | pause
2023-05-07T20:56:13.224Z | Sg3Ii | user5 | pause
2023-05-07T20:56:13.223Z | Sg3Ii | user18 | pause
2023-05-07T20:56:13.223Z | Sg3Ii | user3 | pause
2023-05-07T20:56:13.224Z | Sg3Ii | user8 | pause
2023-05-07T20:56:13.223Z | Sg3Ii | user11 | pause
2023-05-07T20:56:13.261Z | Sg3Ii | user14 | pause
2023-05-07T20:56:13.227Z | Sg3Ii | user9 | pause
2023-05-07T20:56:13.229Z | Sg3Ii | user16 | pause
2023-05-07T20:56:13.232Z | Sg3Ii | user13 | pause
2023-05-07T20:56:13.234Z | Sg3Ii | user6 | pause
2023-05-07T20:56:13.228Z | Sg3Ii | user4 | pause
2023-05-07T20:56:13.267Z | Sg3Ii | user7 | pause
2023-05-07T20:56:13.278Z | Sg3Ii | user17 | pause
2023-05-07T20:56:13.229Z | Sg3Ii | user2 | pause
2023-05-07T20:56:13.324Z | Sg3Ii | user19 | pause
2023-05-07T20:56:13.331Z | Sg3Ii | user12 | pause
2023-05-07T20:56:13.334Z | Sg3Ii | user1 | pause
2023-05-07T20:56:13.223Z | Sg3Ii | user15 | pause
2023-05-07T20:56:13.341Z | Sg3Ii | user10 | pause
2023-05-07T20:56:14.266Z | Sg3Ii | user0 | pause
